Datum;Datum_text;Namnsdag
2023-01-01;1 januari;(ingen namnsdag) Nyårsdagen
2023-01-02;2 januari;Svea
2023-01-03;3 januari;Alfred, Alfrida
2023-01-04;4 januari;Rut
2023-01-05;5 januari;Hanna, Hannele
2023-01-06;6 januari;Kasper, Melker, Baltsar
2023-01-07;7 januari;August, Augusta
2023-01-08;8 januari;Erland
2023-01-09;9 januari;Gunnar, Gunder
2023-01-10;10 januari;Sigurd, Sigbritt
2023-01-11;11 januari;Jan, Jannike
2023-01-12;12 januari;Frideborg, Fridolf
2023-01-13;13 januari;Knut
2023-01-14;14 januari;Felix, Felicia
2023-01-15;15 januari;Laura, Lorentz
2023-01-16;16 januari;Hjalmar, Helmer
2023-01-17;17 januari;Anton, Tony
2023-01-18;18 januari;Hilda, Hildur
2023-01-19;19 januari;Henrik, Henry
2023-01-20;20 januari;Fabian, Sebastian
2023-01-21;21 januari;Agnes, Agneta
2023-01-22;22 januari;Vincent, Viktor
2023-01-23;23 januari;Frej, Freja
2023-01-24;24 januari;Erika
2023-01-25;25 januari;Paul, Pål
2023-01-26;26 januari;Bodil, Boel
2023-01-27;27 januari;Göte, Göta
2023-01-28;28 januari;Karl, Karla
2023-01-29;29 januari;Diana
2023-01-30;30 januari;Gunilla, Gunhild
2023-01-31;31 januari;Ivar, Joar
2023-02-01;1 februari;Max, Maximilian
2023-02-02;2 februari;(ingen namnsdag) Kyndelsmässodagen
2023-02-03;3 februari;Disa, Hjördis
2023-02-04;4 februari;Ansgar, Anselm
2023-02-05;5 februari;Agata, Agda
2023-02-06;6 februari;Dorotea, Doris
2023-02-07;7 februari;Rikard, Dick
2023-02-08;8 februari;Berta, Bert
2023-02-09;9 februari;Fanny, Franciska
2023-02-10;10 februari;Iris
2023-02-11;11 februari;Yngve, Inge
2023-02-12;12 februari;Evelina, Evy
2023-02-13;13 februari;Agne, Ove
2023-02-14;14 februari;Valentin
2023-02-15;15 februari;Sigfrid
2023-02-16;16 februari;Julia, Julius
2023-02-17;17 februari;Alexandra, Sandra
2023-02-18;18 februari;Frida, Fritiof
2023-02-19;19 februari;Gabriella, Ella
2023-02-20;20 februari;Vivianne
2023-02-21;21 februari;Hilding
2023-02-22;22 februari;Pia
2023-02-23;23 februari;Torsten, Torun
2023-02-24;24 februari;Mattias, Mats
2023-02-25;25 februari;Sigvard, Sivert
2023-02-26;26 februari;Torgny, Torkel
2023-02-27;27 februari;Lage
2023-02-28;28 februari;Maria, Maja
2023-02-29;29 februari;(ingen namnsdag) Skottdagen
2023-03-01;1 mars;Albin, Elvira
2023-03-02;2 mars;Ernst, Erna
2023-03-03;3 mars;Gunborg, Gunvor
2023-03-04;4 mars;Adrian, Adriana
2023-03-05;5 mars;Tora, Tove
2023-03-06;6 mars;Ebba, Ebbe
2023-03-07;7 mars;Camilla
2023-03-08;8 mars;Siv, Saga
2023-03-09;9 mars;Torbjörn, Torleif
2023-03-10;10 mars;Edla, Ada
2023-03-11;11 mars;Edvin, Egon
2023-03-12;12 mars;Viktoria, Regina
2023-03-13;13 mars;Greger
2023-03-14;14 mars;Matilda, Maud
2023-03-15;15 mars;Kristoffer, Christel
2023-03-16;16 mars;Herbert, Gilbert
2023-03-17;17 mars;Gertrud
2023-03-18;18 mars;Edvard, Edmund
2023-03-19;19 mars;Josef, Josefina
2023-03-20;20 mars;Joakim, Kim
2023-03-21;21 mars;Bengt
2023-03-22;22 mars;Kennet, Kent
2023-03-23;23 mars;Gerda, Gerd
2023-03-24;24 mars;Gabriel, Rafael
2023-03-25;25 mars;(ingen namnsdag) Marie bebådelsedag
2023-03-26;26 mars;Emanuel
2023-03-27;27 mars;Rudolf, Ralf
2023-03-28;28 mars;Malkolm, Morgan
2023-03-29;29 mars;Jonas, Jens
2023-03-30;30 mars;Holger, Holmfrid
2023-03-31;31 mars;Ester, Noa
2023-04-01;1 april;Harald, Hervor
2023-04-02;2 april;Gudmund, Ingemund
2023-04-03;3 april;Ferdinand, Nanna
2023-04-04;4 april;Marianne, Marlene
2023-04-05;5 april;Irene, Irja
2023-04-06;6 april;Vilhelm, William
2023-04-07;7 april;Irma, Irmelin
